Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,1.761839887306051e-4,1.7423236999921792e-4,1.7814399023214297e-4,1.1725161237589187e-5,7.719669933424706e-6,1.7563179264779e-5
par/2048,3.3196461022791054e-4,3.247760959804266e-4,3.371478765662358e-4,3.462616315756639e-5,3.1749843160066225e-5,4.003203048773523e-5
par/4096,6.036152926654295e-4,6.018552184642127e-4,6.052984837716491e-4,1.7769033388076306e-5,1.7769033388076306e-5,1.7769033388076306e-5
par/8192,1.2143858365966623e-3,1.2096305848344946e-3,1.2238014479905629e-3,3.79744909998092e-5,2.3152419024993012e-5,5.6634660824708986e-5
par/16384,2.4306539568098927e-3,2.4221696490773063e-3,2.4400687778128156e-3,6.604747474838602e-5,3.3948666095065424e-5,8.88801960463333e-5
par/32768,4.875328399096123e-3,4.866083679597616e-3,4.885428664306441e-3,6.14820173433706e-5,4.636157877067129e-5,7.730535064761674e-5
par/65536,9.637367912588683e-3,9.59938723362676e-3,9.669455010160154e-3,1.5422770746464473e-4,3.6207625843476585e-5,2.0838037825483393e-4
par/131072,1.8956723117264478e-2,1.8910776863133513e-2,1.902283940443409e-2,2.884130815797225e-4,1.0185649190603174e-4,4.6820613260584014e-4
par/262144,3.743332967327063e-2,3.735654855073834e-2,3.751873582442989e-2,2.1989554228373808e-4,1.7834364534027901e-4,3.155429456005447e-4
par/524288,7.488896588228176e-2,7.47774656463705e-2,7.506637323037557e-2,5.150199848695234e-4,3.1465895777042156e-4,7.594942612221306e-4
par/1048576,0.14881638384973794,0.1486628639017731,0.14891011045145314,4.637346660222927e-4,3.602594321463911e-4,6.257431543997042e-4
