Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,2.555004399252618e-4,2.5512644879220614e-4,2.560043135463833e-4,2.698389609042424e-6,2.3923927815314553e-6,3.0799853517496933e-6
par/2048,4.2554267186847774e-4,4.2496072698849924e-4,4.260061294312775e-4,2.7896066906910093e-6,2.4901921312631374e-6,3.1243248580975863e-6
par/4096,7.646352571539473e-4,7.638066548571938e-4,7.664015438951479e-4,6.427863661060175e-6,5.79641500922204e-6,7.33867916242183e-6
par/8192,1.458382948268812e-3,1.4541035468882003e-3,1.462275685812557e-3,1.780113310564641e-5,1.5591299583939928e-5,1.9299579635328226e-5
par/16384,2.836662221438568e-3,2.8314129330219103e-3,2.840015714557063e-3,3.6532213777424035e-5,3.159677439487888e-5,4.0730839317213805e-5
par/32768,5.572636975525773e-3,5.563917499765956e-3,5.5885637065602334e-3,7.68862697049306e-5,5.720195859245954e-5,9.945078317045586e-5
par/65536,1.0799259819488401e-2,1.0788534238528916e-2,1.0821717260070689e-2,1.2211788409731905e-4,9.249202429404701e-5,1.4495784202812767e-4
par/131072,2.0867392536226253e-2,2.0786259633458884e-2,2.0924624931406302e-2,2.217254839172031e-4,1.7785673272896916e-4,2.857151139122409e-4
par/262144,4.0562887661182066e-2,4.044168990839522e-2,4.0733285192591936e-2,5.551526776055289e-4,3.3357548151206196e-4,6.729394973538746e-4
par/524288,7.920759290457022e-2,7.894031668599366e-2,7.943646925514773e-2,6.703707526165428e-4,5.013458227127873e-4,9.527473890224084e-4
par/1048576,0.1549259806744798,0.1545950373641024,0.15558402527312973,1.229794662265367e-3,6.744099533119245e-4,1.9336670499874435e-3
