Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,3.250536881989338e-4,3.23719083696372e-4,3.269048349618618e-4,6.577374295737877e-6,4.631201413976423e-6,8.10922632574368e-6
par/2048,5.925606300495934e-4,5.913647409663303e-4,5.935125071315737e-4,5.543322813450529e-6,4.4147161504726475e-6,6.921417961599852e-6
par/4096,1.136879624580454e-3,1.1312364515223244e-3,1.1399101076685974e-3,2.943863745531269e-5,2.7262175034573042e-5,3.116122280245117e-5
par/8192,2.164911339714341e-3,2.1531380390177623e-3,2.1794793845490296e-3,5.8904527112042596e-5,5.116232415988028e-5,6.505814868838323e-5
par/16384,3.988316984979618e-3,3.973774295413341e-3,4.004355515279031e-3,8.501587962893681e-5,6.9903556685704e-5,9.428983097269424e-5
par/32768,7.973613092610932e-3,7.940272218400648e-3,7.991836419127877e-3,1.2222192995522933e-4,1.112827190907077e-4,1.3566049696751322e-4
par/65536,1.5340687387910227e-2,1.5314735405443656e-2,1.5379611735418859e-2,1.2409075368905562e-4,8.158897247567494e-5,1.8520927508353284e-4
par/131072,3.084264987936745e-2,3.0764188544953892e-2,3.0918321524769192e-2,2.856477657363013e-4,2.0634459801680994e-4,3.8072073036644275e-4
par/262144,6.0426461846534246e-2,6.0345694937300444e-2,6.052693511599151e-2,3.539213329353826e-4,2.999525606374194e-4,4.0831503740387494e-4
par/524288,0.11969925384149631,0.11960171704232984,0.11984531067359941,3.72744098149407e-4,3.086778546014535e-4,4.1948389712442337e-4
par/1048576,0.23913259724804276,0.23878142019766935,0.23947384653138085,8.235746250226288e-4,4.95941731668204e-4,9.567036969046585e-4
