Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,3.069420905230384e-3,3.057721024390763e-3,3.0992782635223823e-3,8.924477544360659e-5,6.628103867348055e-5,1.1297793499031073e-4
par/20000,8.05994769118206e-3,8.035170613599867e-3,8.145135569621353e-3,2.518981397132388e-4,2.3638536692565976e-4,2.9777631887178036e-4
par/40000,1.932626048828845e-2,1.919735691652066e-2,1.9433778984769192e-2,4.791737696820542e-4,4.3663484519360784e-4,5.235987247674915e-4
par/80000,4.20234216472148e-2,4.182571887047383e-2,4.242649149604231e-2,1.018541724559247e-3,7.518684446346336e-4,1.216863448804284e-3
par/160000,9.297135277465232e-2,9.23668819001048e-2,9.368431383562792e-2,1.0191235160931602e-3,8.769886999950683e-4,1.2563160330737117e-3
par/320000,0.20569175788485963,0.20499589487573958,0.2061558933579363,1.786481112554949e-3,7.646524036146879e-4,2.012525352970696e-3
par/640000,0.4476786697632633,0.44710383767960593,0.4482149708783254,1.8703468301059128e-3,4.7797663137316704e-4,2.2462331164089366e-3
