Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,3.827827105490287e-3,3.682920217691306e-3,3.951277268948315e-3,6.507041087847215e-4,6.336635793847857e-4,7.26488154994014e-4
par/20000,8.33349902809991e-3,8.211685679092407e-3,8.397694645386823e-3,8.398425732176879e-4,5.67191296122215e-4,1.0251341860550032e-3
par/40000,2.136094950549319e-2,2.12705608347269e-2,2.1464625361435927e-2,1.332821677764078e-3,1.0897679673071102e-3,1.603176466326128e-3
par/80000,4.7894452038209454e-2,4.7359529286402566e-2,4.833549009347563e-2,2.6465946614871285e-3,1.3279264303848405e-3,3.4542646599983514e-3
par/160000,0.1332972983066048,0.1311247340192841,0.13648915239415751,5.136507811636147e-3,3.319486185604428e-3,7.17352009323206e-3
par/320000,0.35399303531933884,0.34749336301077466,0.3681587501002165,1.9558592321126472e-2,6.731980189215392e-3,2.3911034224220473e-2
par/640000,0.8555586375393128,0.834254115819931,0.8644249990175012,2.514925320335828e-2,9.097544068936259e-3,2.754826065215075e-2
