Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,2.0528337392894383e-3,2.019701545070966e-3,2.073623774635026e-3,2.0897255136142115e-4,1.787939054948732e-4,2.2538127336648134e-4
par/2048,2.093239038202907e-3,2.074128919204564e-3,2.1377443299478048e-3,1.419558161524654e-4,1.3573821896990785e-4,1.4965152119789118e-4
par/4096,2.321696757796526e-3,2.3150842641093505e-3,2.326502203606135e-3,4.659912628665158e-5,4.2555383308623206e-5,5.235343607256579e-5
par/8192,3.0111209999753837e-3,2.994758238090321e-3,3.021064692658536e-3,8.625074681011276e-5,7.777508538363021e-5,1.0201297810480736e-4
par/16384,4.3424350638486915e-3,4.329322965955177e-3,4.352334733980862e-3,1.0322996290042042e-4,9.474139077447977e-5,1.2376491380827685e-4
par/32768,6.842861051834765e-3,6.822778346666367e-3,6.862470337381741e-3,8.842247330298319e-5,5.257180869241113e-5,1.0594169905441625e-4
par/65536,1.223589539960933e-2,1.218772015363231e-2,1.2273164830979434e-2,2.36525607844688e-4,1.866393226361488e-4,2.611727527861985e-4
par/131072,2.230525524477357e-2,2.2290998672248107e-2,2.232015000799375e-2,1.001594926245471e-4,8.11965645261336e-5,1.2027402482356244e-4
par/262144,4.252617045028859e-2,4.24737101667457e-2,4.2579041142011324e-2,1.83442063922614e-4,1.5932131477431369e-4,2.0888737906401856e-4
par/524288,8.23997796100403e-2,8.230440337304278e-2,8.249266680683574e-2,3.127912890356537e-4,2.1248486090157126e-4,3.846189575977971e-4
par/1048576,0.16259769125631282,0.16235709754742367,0.16288604552727165,1.0698357955375615e-3,7.155553234313796e-4,1.3697895725575356e-3
