Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
seq/10000,5.979196185790477e-3,5.973224502140318e-3,6.000771948350844e-3,3.230667811442656e-5,1.3492614042367014e-5,6.214478758162723e-5
seq/20000,1.6172407327874477e-2,1.6157641262724478e-2,1.623681582591799e-2,1.6395781809016595e-4,1.6048285691645076e-4,1.6571162288426974e-4
seq/40000,4.062591442949596e-2,4.0289070708438374e-2,4.0803786932603656e-2,5.523380995300778e-4,1.6128221005699372e-4,9.733963597987254e-4
seq/80000,0.10006427886748828,9.991334650067635e-2,0.10056372294432403,1.2370464088597868e-3,1.1979304986607705e-3,1.2874350066351616e-3
seq/160000,0.23232798750460562,0.23154146613604906,0.23321781765359142,1.8525397596112674e-3,1.9920208171862958e-4,2.346538323034526e-3
seq/320000,0.5414629559672903,0.5368622728274204,0.5460849801893346,7.942505377196974e-3,7.942505377196974e-3,7.942505377196974e-3
seq/640000,1.254733687596551,1.2425825161432538,1.2854385218427828,3.5609139591137214e-2,3.2120659248903394e-2,3.708974252780523e-2
