Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,2.781940167881188e-3,2.334670388064005e-3,3.5975893248963004e-3,1.3985315850033636e-3,4.173685786635754e-4,2.239184949542918e-3
par/2048,8.3729592813074e-3,7.002284039236373e-3,1.1084311719421832e-2,4.3128731826895935e-3,2.5205115772034717e-3,7.1111039512605145e-3
par/4096,1.961271575410058e-2,1.6259328076851355e-2,2.629888004530548e-2,8.058157290678646e-3,5.434100416799696e-3,1.1325961805203563e-2
par/8192,4.26636081902347e-2,3.519521217197687e-2,5.27264860861938e-2,1.2724601149294539e-2,9.75337157454191e-3,1.6883011499669438e-2
par/16384,9.497938398516127e-2,7.970497777375082e-2,0.11569893574988883,2.4089946832115353e-2,1.3791205529428864e-2,3.3663548015390975e-2
par/32768,0.22259697280694835,0.18291554727539835,0.24985723911474148,3.728576102063805e-2,1.6403880588557438e-2,5.148183556397768e-2
par/65536,0.4616138863396676,0.34785026498138905,0.5253099948749878,8.558320981059625e-2,4.307908432868601e-3,0.10618718096442893
par/131072,1.0323404477288325,0.8999587562866509,1.0798165969511804,8.852361353863317e-2,2.9410934075713158e-3,0.10624538799329131
par/262144,2.2163000746804755,2.1266402630135417,2.2527166215586476,6.063058498904436e-2,5.189097777474672e-3,7.578614654314096e-2
par/524288,4.742979020084022,4.660586035228334,4.82547134932247,8.61254192309576e-2,2.2847857093438506e-2,0.10844515342709754
par/1048576,9.795617412843663,9.72290336113656,9.92059507946639,0.12006786601936263,1.112790493061766e-2,0.1507364778418533
