Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
seq/1024,5.897402094321293e-3,5.096969572146645e-3,7.191709813098015e-3,2.21228011177444e-3,1.5021763836620648e-3,3.064751728390981e-3
seq/2048,1.3745072073340903e-2,1.1905604435351849e-2,1.7385976843453988e-2,4.509484995006345e-3,2.8991302654585716e-3,6.460796060406282e-3
seq/4096,2.9631943932399752e-2,2.6123871440019975e-2,3.249386199393159e-2,5.51937070810095e-3,4.3037376366174985e-3,7.327976302013234e-3
seq/8192,6.254955523693763e-2,5.4757742919303604e-2,7.049189170245662e-2,9.963534811287504e-3,6.207192967344346e-3,1.4027415115812346e-2
seq/16384,0.138300848178103,0.12233189914413556,0.1497653433492369,1.5781480915593133e-2,7.707817721737165e-3,2.5029372220090097e-2
seq/32768,0.3213564935264488,0.2714773297775537,0.3477085159750034,3.884021313356377e-2,1.3004451265106402e-2,5.3834000426338464e-2
seq/65536,0.6876891777598454,0.6759915172879118,0.7151326990375916,1.853089916773853e-2,0.0,2.293245198774369e-2
seq/131072,1.4348280550232932,1.3944578597632546,1.4580425646854565,3.1020433857175674e-2,8.441357058472931e-3,4.1584266273211226e-2
seq/262144,3.11304392273693,3.0726303096162155,3.1564081027172506,4.449379533865126e-2,7.1573867902100935e-3,5.365133536475563e-2
seq/524288,6.84298241592478,6.733315670397133,6.947113085887395,0.1076770062230456,2.8203384252265096e-2,0.131577611130401
seq/1048576,15.06892467685005,15.053265966300387,15.100695416680537,2.20867734934815e-2,1.4382898419471601e-3,2.7798604458205926e-2
