Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
seq/1024,5.572940329667861e-3,4.932291217759936e-3,6.679541437004687e-3,2.038659618109279e-3,1.1626658421880355e-3,2.809384788335574e-3
seq/2048,1.2503810213673111e-2,1.1220703677232236e-2,1.4721351812676734e-2,3.971788496232145e-3,2.3038243862589015e-3,6.01800066018972e-3
seq/4096,2.6953501450760038e-2,2.352689640435812e-2,3.0094144169445565e-2,5.161353964560779e-3,3.561355994753848e-3,7.034663872219118e-3
seq/8192,6.099496148539548e-2,5.470264363284882e-2,6.552841829286866e-2,7.717108038998724e-3,5.1258617789809975e-3,1.1403357692887847e-2
seq/16384,0.13434484979772518,0.12124370512139562,0.14831303151648692,1.8165220993707914e-2,1.0767521457327145e-2,2.560770537465699e-2
seq/32768,0.3078963214174534,0.271437683266898,0.3464556426182389,4.0866103188191984e-2,2.3205313763486175e-2,6.259413550562375e-2
seq/65536,0.647868601498582,0.6243269760161638,0.659912203263957,1.69221496522898e-2,3.366550838109106e-3,2.2776285414600573e-2
seq/131072,1.4034533553252306,1.3819667329080403,1.4175542791296416,1.8061751664667825e-2,6.092590706733403e-3,2.4064038275434577e-2
seq/262144,2.998014392806605,2.9562651249580085,3.0389703419059515,3.8731817612062514e-2,1.0002029111266145e-2,4.7749879268281274e-2
seq/524288,6.51268023182638,6.462413725908846,6.547658790193964,4.153193566460856e-2,1.8131014658138156e-3,4.973965812177776e-2
seq/1048576,14.181203202266866,13.91804208761702,14.298535880050622,0.18515046623936726,2.17310655597803e-2,0.24923714685298226
