Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,2.853340261972796e-3,2.818319124333769e-3,2.874897647943354e-3,1.0540911768376316e-4,8.507677148292355e-5,1.2163952109684127e-4
par/20000,7.374300978976425e-3,7.336512851283397e-3,7.387994282948379e-3,1.0525162311791905e-4,9.566913012329899e-5,1.188270767310195e-4
par/40000,1.874951076904829e-2,1.8549898910913135e-2,1.8879101871111286e-2,6.630880656682759e-4,5.411456407314556e-4,7.348229777012e-4
par/80000,4.093581949920213e-2,4.0801634282942555e-2,4.117278023662609e-2,5.419417284001255e-4,4.070679206437178e-4,5.862369634703898e-4
par/160000,9.302672025514766e-2,9.226768754112223e-2,9.39344415285935e-2,1.4627678857767985e-3,6.082769538809451e-4,2.1167826312859612e-3
par/320000,0.19756852803984656,0.19599062040991458,0.2006889955373481,3.5848558665746385e-3,1.7085368172602164e-3,4.364529011051497e-3
par/640000,0.4297266421393336,0.4277310349571053,0.43194320090697147,3.958007152523024e-3,2.2528706661736897e-4,4.516566961309964e-3
