Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,2.6941843757643563e-3,2.4415469893172403e-3,2.9262623373146374e-3,6.691735539963718e-4,5.668926711710326e-4,9.393240014011556e-4
par/20000,9.355034433176158e-3,8.938476343308866e-3,9.824170984906845e-3,1.6428869344146315e-3,1.0093945676858747e-3,1.893754299074519e-3
par/40000,2.1138008642664463e-2,2.0653929319418275e-2,2.4062972522535916e-2,2.861694764103129e-3,1.4285009779592128e-3,4.704020114238765e-3
par/80000,5.177621836304124e-2,4.9965758232172044e-2,5.409649664895584e-2,5.0712330134123264e-3,3.2843120225938215e-3,6.330553100316999e-3
par/160000,0.14549290818434693,0.14263244457416185,0.14865383159901416,1.1361815532551492e-2,8.793317343658059e-3,1.1908840490480679e-2
par/320000,0.391876536149842,0.3768460388528183,0.4074876364514542,2.339893419568601e-2,2.130260735966291e-2,2.844830590775336e-2
par/640000,0.9687345552956685,0.9613568692584522,0.9692227950436063,8.837401330804627e-3,6.889446289278566e-3,1.0311187827028334e-2
