Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,2.68040323463416e-3,2.676122340831366e-3,2.686026003538517e-3,2.3380439018917208e-5,2.0742397117219712e-5,2.744508985270496e-5
par/20000,6.879256998899817e-3,6.828466025376135e-3,6.905748925446414e-3,1.1639203944048122e-4,9.975868238589325e-5,1.4747005683815497e-4
par/40000,1.677286415591646e-2,1.6675698434915003e-2,1.682448012084786e-2,2.088738871342356e-4,1.2479943290121762e-4,2.63889808669455e-4
par/80000,3.81127958878932e-2,3.786456920263662e-2,3.827577199323515e-2,7.709182794690904e-4,4.017562631100551e-4,9.859629548981078e-4
par/160000,8.489087606312722e-2,8.421260000176964e-2,8.535206604798858e-2,1.6373359102677418e-3,1.2272199337559021e-3,2.2198937365286563e-3
par/320000,0.18338828130185394,0.182640570442244,0.1849813236350504,2.318781681693673e-3,9.9019435607273e-4,3.0033508838322336e-3
par/640000,0.40134046916500665,0.39993316621985286,0.4028200227767229,7.16594261711101e-3,5.625656845808469e-3,9.916936577746593e-3
