Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,6.209396303907982e-3,5.987821689675092e-3,6.385449625334763e-3,7.059343096030787e-4,5.305030451606829e-4,9.199153233745079e-4
par/20000,1.3320711028471557e-2,1.3156175572361269e-2,1.3485454099828792e-2,9.488660834539465e-4,7.44915672761264e-4,1.2055327544492045e-3
par/40000,2.951913808540457e-2,2.9101529116333583e-2,3.0006519722326565e-2,1.3061164095529872e-3,1.053631254923233e-3,1.7257294978325426e-3
par/80000,7.749153702425593e-2,7.166317079393637e-2,8.050931306367384e-2,9.436254002856416e-3,7.732304756834083e-3,1.0324094663263334e-2
par/160000,0.19505384124349803,0.18971827846641343,0.19531310635567126,8.64496563744131e-3,4.2926923026216516e-3,1.1064660307018581e-2
par/320000,0.5622936405901177,0.5477632900389533,0.5746981712485043,2.128531177077026e-2,1.740843461451463e-2,2.128531177077026e-2
par/640000,1.4059298534217912,1.3801158928545192,1.4230197871802375,2.4406415875477688e-2,8.265572004218933e-3,2.852372013425354e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,4.6205446388756614e-3,4.3346261758996875e-3,4.73437681704926e-3,6.785638746010602e-4,4.7857216161396155e-4,8.204544921633652e-4
par/20000,9.944423352044755e-3,9.913117186429296e-3,1.0165545971987764e-2,9.283586085435343e-4,9.095455688401411e-4,9.968549809809106e-4
par/40000,2.217167007069404e-2,2.180879632539293e-2,2.2551546198557343e-2,2.0905560101862858e-3,1.2684608800350118e-3,2.25762144476981e-3
par/80000,5.279929036074912e-2,5.188145048337958e-2,5.64432452401333e-2,4.524850363850028e-3,3.854257691229538e-3,5.132745386898483e-3
par/160000,0.1327949608763447,0.13184884371391187,0.136460068798624,7.075293802321443e-3,6.290531803890887e-3,7.709338509350335e-3
par/320000,0.3643646247801371,0.36271543172188103,0.36806972342310473,4.944700165687019e-3,3.8740795658728576e-3,4.959136309546368e-3
par/640000,0.9015956256189384,0.8850111835636199,0.9181800676742569,3.1242574585262656e-2,1.502471701661848e-2,3.8177667060823796e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,3.991844143651874e-3,3.967015512905815e-3,4.184404901859925e-3,7.216122961941628e-4,5.542557594118084e-4,9.323873440536377e-4
par/20000,9.157514033424262e-3,8.906813759216188e-3,9.42260707771046e-3,9.995091312869112e-4,7.302348939551986e-4,1.3303881941721454e-3
par/40000,2.1105209765630274e-2,2.0810403624293997e-2,2.180451835461668e-2,2.3707683214605796e-3,1.7519159316110677e-3,3.246285428142019e-3
par/80000,4.67894521074544e-2,4.4735367025433584e-2,4.859396466968714e-2,3.7061513503807413e-3,2.324631846669619e-3,5.6745332800686625e-3
par/160000,0.10960171153609571,0.10842433600929587,0.11101232302733213,4.461639031016549e-3,2.6599685602512607e-3,4.851349502760046e-3
par/320000,0.3015569025728231,0.2988749525587385,0.3068325529806316,6.447460877220692e-3,5.2286867341738074e-3,6.447460877220692e-3
par/640000,0.7830122527278339,0.7757217256197085,0.7886515591138353,1.6451239817851678e-2,1.588151267123707e-2,1.6451239817851678e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,3.595882179055463e-3,3.5742112621228246e-3,3.66720423167973e-3,7.08660978192791e-4,4.2814989872460603e-4,8.862550325278442e-4
par/20000,7.685409221273546e-3,7.5339685432566925e-3,7.822489092251948e-3,9.130410048324245e-4,7.871298917386737e-4,1.2335103605875773e-3
par/40000,1.85777446828737e-2,1.7867650425265207e-2,1.921943945849259e-2,2.224215612302455e-3,1.0394652376469363e-3,3.2525242063870777e-3
par/80000,4.292033391571165e-2,4.246580748953397e-2,4.3528827322153386e-2,2.96036460987763e-3,1.2213055752460747e-3,3.657721122822515e-3
par/160000,0.11143121347489622,0.11060893924371894,0.11209281626610651,4.067002061156548e-3,3.4601431812272517e-3,4.224244888523597e-3
par/320000,0.30417603853158653,0.29668281061574814,0.306879190383479,1.123391187397047e-2,6.231653553152802e-3,1.4854851131144521e-2
par/640000,0.763812294540306,0.7426319640944712,0.7716357850392039,2.6598398267541134e-2,1.4469035679535181e-2,3.2023859633731645e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,3.6654727867541e-3,3.5665478188599254e-3,3.7895289772486205e-3,7.792249675533245e-4,6.23273477987096e-4,8.721393974022194e-4
par/20000,8.871054755429578e-3,8.541038377370835e-3,9.507449032033058e-3,1.539078363509614e-3,1.1172274083147006e-3,2.1323955994405827e-3
par/40000,1.8469826618735873e-2,1.757175460239934e-2,2.001899157503453e-2,3.113448385570202e-3,1.3631769372211e-3,5.122173565261392e-3
par/80000,4.3680275740084706e-2,4.252538769013595e-2,4.571980306521065e-2,3.3748397113250476e-3,2.5037879570342504e-3,3.979703914730724e-3
par/160000,0.11843107806267827,0.11708295134303626,0.12194915081927321,5.992559235658584e-3,4.281218931488625e-3,8.148141734805908e-3
par/320000,0.3229746293167894,0.32201336143383136,0.3260264466904725,1.1759737686719491e-2,4.122040675869654e-3,1.4450348036841785e-2
par/640000,0.8233279938285705,0.7941478304564953,0.8395620832161512,3.273201816632092e-2,2.936548935080545e-2,3.5849736606547625e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,3.68855822504814e-3,3.3857509970996705e-3,3.8826892455980284e-3,8.682513297309803e-4,6.897795924559358e-4,1.0811802422740924e-3
par/20000,8.728622345451785e-3,8.525558476526657e-3,8.956576539208784e-3,1.4451483799779875e-3,1.110261375370812e-3,1.7331099672806905e-3
par/40000,1.949452853185883e-2,1.8864105503942255e-2,2.026949321916954e-2,3.0375410621215175e-3,1.808846586201304e-3,4.543441499116229e-3
par/80000,4.759698562186354e-2,4.647941415984362e-2,4.880088892607747e-2,4.188739988017953e-3,1.5116039720981414e-3,5.503734092488306e-3
par/160000,0.12669854573157083,0.123859821399951,0.13076578010638643,7.749063764180711e-3,4.992958172156544e-3,9.844453094683086e-3
par/320000,0.3384372060536407,0.3329623849131167,0.33912156749283895,1.1063957853846349e-2,2.8260667531242126e-3,1.188081301357562e-2
par/640000,0.8692008991298886,0.8540456329355948,0.8955626614236583,3.3143591005243896e-2,1.902644946969993e-2,3.700779075734317e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,3.437019635253518e-3,3.3234726790038354e-3,3.6261816129252934e-3,1.0476491494835068e-3,9.510511628022993e-4,1.308064022595471e-3
par/20000,8.867602305843075e-3,8.541229688907127e-3,9.487610622347337e-3,1.6640577274726301e-3,1.4350300975457114e-3,2.1552222494481956e-3
par/40000,2.0725143808364908e-2,2.029962560463327e-2,2.1912545931956975e-2,3.5522868183076465e-3,2.3279066708292695e-3,5.0990857381634025e-3
par/80000,4.898226361612524e-2,4.830104376975683e-2,5.029611547061479e-2,4.3410431560364955e-3,3.2351567295295217e-3,5.8071019493596e-3
par/160000,0.1342610895104285,0.13154597545300412,0.1361204875737063,7.389053352949669e-3,3.578950566210114e-3,9.344643754455543e-3
par/320000,0.3624185772787314,0.3555480884388089,0.36679827838088386,1.0748571712635983e-2,4.472186554837747e-3,1.2144652302317767e-2
par/640000,0.929756073775934,0.9112722461577505,0.9482399013941176,2.8292648216467497e-2,2.9369691062929824e-3,3.97496022977587e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,2.6941843757643563e-3,2.4415469893172403e-3,2.9262623373146374e-3,6.691735539963718e-4,5.668926711710326e-4,9.393240014011556e-4
par/20000,9.355034433176158e-3,8.938476343308866e-3,9.824170984906845e-3,1.6428869344146315e-3,1.0093945676858747e-3,1.893754299074519e-3
par/40000,2.1138008642664463e-2,2.0653929319418275e-2,2.4062972522535916e-2,2.861694764103129e-3,1.4285009779592128e-3,4.704020114238765e-3
par/80000,5.177621836304124e-2,4.9965758232172044e-2,5.409649664895584e-2,5.0712330134123264e-3,3.2843120225938215e-3,6.330553100316999e-3
par/160000,0.14549290818434693,0.14263244457416185,0.14865383159901416,1.1361815532551492e-2,8.793317343658059e-3,1.1908840490480679e-2
par/320000,0.391876536149842,0.3768460388528183,0.4074876364514542,2.339893419568601e-2,2.130260735966291e-2,2.844830590775336e-2
par/640000,0.9687345552956685,0.9613568692584522,0.9692227950436063,8.837401330804627e-3,6.889446289278566e-3,1.0311187827028334e-2
