Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,9.064619530546203e-5,9.063630313568253e-5,9.066120223635726e-5,6.992779235761999e-8,2.9763829901299803e-8,8.834059113724605e-8
par/20000,1.1141363916040176e-4,1.110330828043105e-4,1.1203638437453526e-4,2.1190294228580365e-6,3.6655893188813226e-7,3.510387274954593e-6
par/40000,2.2240060937101728e-4,2.2221666777670328e-4,2.2258693674816424e-4,6.979694957494694e-7,3.03678929020858e-7,1.0361001758040492e-6
par/80000,4.454932274032318e-4,4.4518041513651933e-4,4.4622447356135517e-4,2.874915539669183e-6,2.811672193219754e-6,4.635985282362683e-6
par/160000,8.883337933083258e-4,8.877263268811704e-4,8.889777371290339e-4,3.5752192334258296e-6,6.09426217247557e-7,4.97484937577867e-6
par/320000,1.8032185639698778e-3,1.8029853971250195e-3,1.8063337732719545e-3,7.441877327641369e-6,7.329972962067972e-6,1.3159630784574822e-5
par/640000,3.7112496030348497e-3,3.710441126464353e-3,3.7135865134520943e-3,8.772439907520989e-6,8.279571577253606e-6,9.247856557415835e-6
