Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,1.4431709800171936e-3,1.3300745305906882e-3,1.8524454567835247e-3,5.869740167698115e-4,2.3846569522523327e-5,1.2129132696315444e-3
par/2048,3.5035132870820033e-3,3.0778165270081413e-3,4.309676139754866e-3,1.4839851620984017e-3,6.024388918149184e-4,2.330996729845892e-3
par/4096,8.77174300440335e-3,7.645523287772618e-3,1.108180057942715e-2,3.285857195199976e-3,2.0335824357536865e-3,4.380202420900752e-3
par/8192,2.5287703727674055e-2,2.0455739454268946e-2,3.2943294277923606e-2,9.264885166340286e-3,6.739328783021639e-3,1.217139053956288e-2
par/16384,6.999343018585438e-2,5.1896396920912795e-2,8.187871233130829e-2,1.9396568113195317e-2,1.404662927801791e-2,2.39076107612882e-2
par/32768,0.1589035992523288,0.12037975341525106,0.1808999337116573,3.0930095969999016e-2,1.445547410589489e-2,4.584088455332801e-2
par/65536,0.36343299904062104,0.2204624069854617,0.4394456490408629,0.10376423117914522,1.2182587790252872e-2,0.1325213276438293
par/131072,0.7949451437743846,0.7067369788419455,0.8463327341887634,8.36970825415371e-2,8.12603736994788e-3,0.10654558539991761
par/262144,1.6764232806744985,1.5448882197961211,1.7220671409741044,8.773353823796515e-2,1.3184440322220325e-3,0.10305550185375098
par/524288,3.514483569859294,3.4474203219579067,3.6732007889077067,0.10693413591367497,0.0,0.13302203951920677
par/1048576,7.203443910684048,7.105485142499674,7.382372154854238,0.12615641348473194,1.3034737261477858e-2,0.1701236062123092
