Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,1.6880944740194448e-3,1.6862611088937648e-3,1.6906254088348178e-3,1.3823316114546231e-5,1.072788719535057e-5,1.630776681313225e-5
par/2048,3.6727410023141504e-3,3.663626613821605e-3,3.69171623253981e-3,6.907780079242284e-5,6.41416844730007e-5,7.743839183994054e-5
par/4096,8.925562006049412e-3,8.886731006763514e-3,8.95295057792349e-3,1.4218519567079976e-4,1.3658267777126929e-4,1.627922139107975e-4
par/8192,2.171565625012997e-2,2.1551968737175357e-2,2.1790292683934682e-2,5.716349707215407e-4,3.639350015356453e-4,7.957368990253677e-4
par/16384,4.836484926522787e-2,4.812724891042267e-2,4.843918680146995e-2,8.040190261194154e-4,3.8353906325003614e-4,1.3089143899861601e-3
par/32768,0.10941243701681282,0.10930435370997155,0.1097228584605687,1.4776093375891124e-3,1.1172150380868847e-3,1.7507747129625727e-3
par/65536,0.25515074347951316,0.25436012556365056,0.2562197712111558,2.680427477156029e-3,2.437850791688938e-3,3.375341236600088e-3
par/131072,0.5804757652677531,0.577557516682981,0.5821115300736743,4.512680076743762e-3,2.097149958939498e-3,6.923272666950735e-3
par/262144,1.320730133571219,1.3053431970616396,1.3371357402465687,2.451242621884685e-2,1.6819485152905937e-2,2.744468116982463e-2
par/524288,3.2893405944947154,3.2668438183492983,3.303770936387591,3.294378347600463e-2,2.5044899961753662e-2,3.6329016449251725e-2
par/1048576,8.506883244682589,8.477503235374268,8.562618965494039,5.501036955765163e-2,5.8926340642937655e-3,6.453571764425872e-2
