Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,1.8637323336298582e-3,1.85293932867289e-3,1.8752790626914357e-3,5.3656336997474274e-5,4.405687249148918e-5,6.883144379389255e-5
par/2048,5.801044735849498e-3,5.776954606492478e-3,5.821723150091109e-3,1.531312514536468e-4,1.1014408707347351e-4,2.368652455667386e-4
par/4096,1.3664260471620672e-2,1.3601746225475265e-2,1.3753228846018452e-2,3.3450764867185365e-4,2.3899041138573905e-4,4.483892121733074e-4
par/8192,3.346183883221225e-2,3.329834105688895e-2,3.3572108272592396e-2,6.265051183168813e-4,4.7100404828205405e-4,7.672549563420549e-4
par/16384,8.724359869949477e-2,8.67983888041917e-2,8.771682197027002e-2,2.2702970101149697e-3,1.0119819649236723e-3,3.129906095922766e-3
par/32768,0.21248113113598133,0.2120832666430178,0.21276024876354685,8.693511605363703e-4,6.37686726843966e-4,1.0530023246922962e-3
par/65536,0.5154639165967234,0.5131491412362236,0.5200356119864005,5.592824342370222e-3,2.226398409690785e-3,9.297029157951579e-3
par/131072,1.1748331081714496,1.171914573554496,1.1808264668135153,8.465048502801545e-3,6.919368240237789e-3,9.842767156690994e-3
