Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,7.272822116514489e-4,7.14806207870734e-4,7.390753435893476e-4,5.344949297224697e-5,4.666678753531723e-5,6.244722033909623e-5
par/2048,1.8151291520407298e-3,1.8057888064416747e-3,1.8311355393700896e-3,8.14505048086047e-5,7.23215799740827e-5,8.43319962909034e-5
par/4096,4.027590194771095e-3,3.982469490987054e-3,4.066058653660062e-3,1.8025411605526877e-4,1.351120502944362e-4,2.0957894284007585e-4
par/8192,1.0292348986801718e-2,1.020384810906864e-2,1.0338752124957846e-2,4.181555723055919e-4,3.464787560019262e-4,5.134815737644472e-4
par/16384,3.5131710874321924e-2,3.4988254576403664e-2,3.5265749257542466e-2,5.833208262746377e-4,4.5557104110409066e-4,6.48321304045993e-4
par/32768,9.564779308330035e-2,9.536509273987648e-2,9.610820768315309e-2,1.278733539025372e-3,8.016601760359182e-4,1.6516676189711607e-3
par/65536,0.22573982208179333,0.2252266728920837,0.22619224250940784,3.5838726280396117e-3,1.9531820034012983e-3,4.561092533484028e-3
par/131072,0.560024335616036,0.5571111513715329,0.5617954701304342,4.4986268702712825e-3,2.079400117313771e-3,7.114161284442699e-3
