Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,1.470598549664412e-3,1.4598473221760482e-3,1.4807712616641423e-3,6.0269018883474145e-5,5.2029477221344655e-5,6.846377396137546e-5
par/2048,4.284788248753065e-3,4.271654864263586e-3,4.297909209218598e-3,8.614143263400582e-5,7.534429918006159e-5,9.349038191412535e-5
par/4096,1.1333372074580584e-2,1.1321718461993027e-2,1.135331864246002e-2,1.3575215818146418e-4,8.652170312067294e-5,1.576202301266796e-4
par/8192,2.6107632171846806e-2,2.6092622748597572e-2,2.611732350255533e-2,8.243679531852189e-5,5.3080848297698e-5,1.0908807190886395e-4
par/16384,6.1507586443298894e-2,6.139726895942075e-2,6.172168809561584e-2,9.180062792141602e-4,6.152256626256339e-4,1.2415841254689334e-3
par/32768,0.13962153832218788,0.13934877194976764,0.13981344239153262,8.941965481945328e-4,1.747300409761218e-4,1.2380604300641933e-3
par/65536,0.31162770924971245,0.3108328156367144,0.3130627819562382,2.9836629705700733e-3,2.0048589496855906e-3,3.8902708919821413e-3
par/131072,0.6802997422087379,0.6784107675839753,0.6829036636572109,4.7633517092764924e-3,2.97226125574022e-3,5.826987922793213e-3
par/262144,1.444276067488062,1.4405599609081037,1.4491337737808863,7.258562477187858e-3,4.025164138663538e-3,1.0411794312168932e-2
par/524288,3.0836631488710795,3.077852250034145,3.088633642568408,7.050456175299722e-3,2.4589634884213544e-3,9.42670425438154e-3
par/1048576,6.8505566555565265,6.794382022864738,6.892431688621097,6.95256816102414e-2,2.859919925443455e-2,8.352504132559944e-2
