Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,4.017828759113864e-4,3.9874156620321857e-4,4.0407295526252414e-4,1.6870353080825065e-5,1.419702017814555e-5,2.023053298505531e-5
par/2048,1.2664492091074822e-3,1.246519815970263e-3,1.294897165467748e-3,1.358239215167709e-4,9.16361169674313e-5,1.6850836460643737e-4
par/4096,4.311211458871773e-3,4.248219569033572e-3,4.363045121669567e-3,3.343567945504898e-4,3.0012274092305685e-4,4.8820938014308734e-4
par/8192,1.6644650397811274e-2,1.646462745508249e-2,1.6792438158197878e-2,7.295146689180045e-4,5.685487722777174e-4,9.072347399577425e-4
par/16384,4.791337015180577e-2,4.7641263700868415e-2,4.8195211519864334e-2,1.4485403872627608e-3,1.037866101627242e-3,1.6645089375909132e-3
par/32768,0.11698624341289052,0.11653835641088212,0.11762404890520307,2.125964590882311e-3,1.5100819830856144e-3,2.671007054116257e-3
par/65536,0.25552845251315304,0.2541594683833739,0.2571804815185112,3.430343955407946e-3,2.7963384276346055e-3,4.1160610564951955e-3
par/131072,0.515067224792051,0.5094219465021589,0.528551377796541,1.6260767764773643e-2,7.343325452398639e-3,2.6839210518178707e-2
