Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,4.944376518675173e-3,4.9390331729784786e-3,4.958353949814778e-3,7.609706162364792e-5,6.425140955857578e-5,8.571019285862275e-5
par/20000,9.614545762509181e-3,9.588522406672016e-3,9.703560739109326e-3,4.4703452159135454e-4,4.2762057583330793e-4,4.874346710149786e-4
par/40000,2.021186879034096e-2,2.0161200421063334e-2,2.024874981898859e-2,3.558354880258335e-4,3.1243918979925565e-4,3.91111476558717e-4
par/80000,4.1215167485985874e-2,4.1025093428298035e-2,4.162933280792298e-2,8.40650663139243e-4,5.822431212618081e-4,1.059285317980052e-3
par/160000,8.711141120747752e-2,8.69931154915442e-2,8.779418512158806e-2,1.4192295735316188e-3,1.1188846847201433e-3,1.519369196373729e-3
par/320000,0.18470728447427973,0.18283413536846638,0.18730143015272915,2.8919911314505453e-3,9.617487704560901e-4,3.901367602664966e-3
par/640000,0.38477870995605673,0.38254307536408305,0.3882941642368678,6.4997655526866e-3,3.941969111769719e-3,6.555904745552609e-3
