Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,7.957234342172518e-4,7.89028309089278e-4,7.995758097388622e-4,4.0448694163210043e-5,3.2689081060563947e-5,4.9373072674300825e-5
par/2048,1.7676638055476874e-3,1.7536229978954863e-3,1.7797316154857614e-3,9.818630960886257e-5,7.61224655001243e-5,1.2066365903744814e-4
par/4096,3.928101502750092e-3,3.8908420319558076e-3,3.976886211482126e-3,1.9861619108032966e-4,1.5034373344601184e-4,2.259819821265161e-4
par/8192,9.87245970850622e-3,9.78417801871076e-3,9.933726918216375e-3,3.691541437185349e-4,2.9303412146387955e-4,4.6858543426543436e-4
par/16384,2.0300752108793677e-2,2.0204868414376694e-2,2.047416535509199e-2,5.209072378228847e-4,4.573350172961897e-4,5.826911232840258e-4
par/32768,4.364815380357201e-2,4.340456017015805e-2,4.40082631137725e-2,1.0408308973311805e-3,8.593576609526857e-4,1.2055587556292994e-3
par/65536,0.10197430826915266,0.10138165080641187,0.10289527417161559,2.1573859074195886e-3,1.856039126609135e-3,2.4586566872373825e-3
par/131072,0.30375772378547367,0.3018755329528889,0.30526755366784475,4.3536346990085085e-3,3.165935810748159e-3,4.953893628491792e-3
