Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,1.317904058907484e-3,1.303829951601084e-3,1.3292946796775865e-3,7.51515175110409e-5,5.0552825303440375e-5,1.0453773139417478e-4
par/2048,1.6691938796319433e-3,1.6406092280030165e-3,1.6947322863478794e-3,1.6306495905814232e-4,1.297286739937384e-4,1.9045061070548566e-4
par/4096,4.053242050243953e-3,4.01481854382157e-3,4.112065007283955e-3,2.3620226694160527e-4,1.733065960742454e-4,2.966857468456754e-4
par/8192,1.1094897583503583e-2,1.0991594792301084e-2,1.1200742381726775e-2,5.810725972352672e-4,4.3418814105449183e-4,7.105211290366396e-4
par/16384,2.2730864525168384e-2,2.262110982151951e-2,2.2872483699913942e-2,5.59929946545331e-4,4.1247193407328056e-4,7.373961317197744e-4
par/32768,4.8801403627265906e-2,4.807465475894212e-2,4.918719681186313e-2,1.7956555289744206e-3,1.1990029956649689e-3,2.5129387943673967e-3
par/65536,0.1256710375260729,0.12503618336618072,0.12659155010390188,2.480801782277895e-3,1.5599928574233594e-3,3.542968906291598e-3
par/131072,0.37553844000148306,0.3721128512942132,0.37956208169683103,6.130094695769834e-3,3.69910723481713e-3,8.177659635632627e-3
