Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,5.002000424259748e-6,4.999149323168275e-6,5.003873723847191e-6,8.187575976636246e-9,6.8368215242574855e-9,8.994987623721465e-9
par/110000,6.572898395143921e-6,6.510421387838466e-6,6.633991840816826e-6,2.816220028538708e-7,2.2932248171174883e-7,3.166040884249759e-7
par/210000,6.310908033222471e-6,6.308191845946807e-6,6.313061385956784e-6,1.8293986813081534e-8,6.690885005087124e-9,2.5484018159350152e-8
par/410000,6.430018752086153e-6,6.404072503439794e-6,6.466194601173788e-6,1.7486237371317921e-7,1.1462975995628324e-7,2.3403414616206617e-7
par/610000,6.323216280136724e-6,6.3200176224709395e-6,6.325321143688795e-6,1.3650120094037199e-8,4.616977030966287e-9,1.867550152115508e-8
par/810000,6.350426611057391e-6,6.3332652564709894e-6,6.371079506514316e-6,1.4051761646518922e-7,8.934114057498008e-8,1.8690665676290094e-7
par/1010000,6.381338665516979e-6,6.3796047666266625e-6,6.386612132950494e-6,1.61738692661465e-8,3.3577652131715962e-9,2.673067142979274e-8
