Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,5.015633786480542e-6,5.001962375928626e-6,5.023550379834207e-6,5.438539986850432e-8,1.5265981444848386e-8,6.909640074172847e-8
par/110000,6.435050736848149e-6,6.425763312581411e-6,6.450884897421061e-6,7.577119394561643e-8,5.263112450321102e-8,1.0456639372632752e-7
par/210000,6.31532120163457e-6,6.314387742030394e-6,6.317031523615943e-6,1.6358282063600346e-8,1.5591753955318515e-8,1.6861115841367145e-8
par/410000,6.501589959896485e-6,6.4753792035224244e-6,6.52296510539313e-6,2.443038019011281e-7,2.0245988470620017e-7,2.679723247211838e-7
par/610000,6.352906675817178e-6,6.333556213382361e-6,6.358889992733091e-6,1.6448738932950295e-7,1.6398749109001518e-7,1.6477992161676805e-7
par/810000,6.329530390544481e-6,6.3226936293320455e-6,6.353212165805817e-6,4.837559768611691e-8,1.0790862549476364e-8,9.136043200333696e-8
par/1010000,6.394526790313975e-6,6.386060614402938e-6,6.411977264112251e-6,5.618715860299401e-8,3.4584564802646225e-8,8.167537497193643e-8
