Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,3.831746079614207e-3,3.5380407354533034e-3,3.989090446171558e-3,7.824178641477133e-4,6.134514288893249e-4,1.0297637111387349e-3
par/20000,9.582290927553265e-3,9.35204821251383e-3,9.759223874600225e-3,1.6402491556485592e-3,1.2855479337688734e-3,1.7150481709774892e-3
par/40000,2.0975308318142965e-2,2.064626452155212e-2,2.1243266831980898e-2,3.433754910239073e-3,2.8130592099845503e-3,3.961996302433076e-3
par/80000,4.531057096955891e-2,4.394523924304248e-2,4.629927878250802e-2,4.853143036050841e-3,3.602438451994799e-3,6.8327169956546386e-3
par/160000,0.10829002771573695,9.909883911826736e-2,0.11309802301430387,1.053887185305045e-2,5.463027627529462e-3,1.2302302508749658e-2
par/320000,0.29861717745661737,0.29323702305555344,0.30532896020449696,9.101352057439598e-3,3.954301880028441e-3,1.1743990829909028e-2
par/640000,0.8015343837226586,0.794865790870972,0.8252785034710541,1.633522195344806e-2,4.723829930183988e-3,2.0124285442333103e-2
