Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,9.34533510955739e-4,9.33968601777531e-4,9.355008132727678e-4,4.717651375963073e-6,3.2780847524458953e-6,5.7985113517451855e-6
par/110000,6.506193019431159e-3,6.50285271403668e-3,6.5175614822134765e-3,3.141212923847722e-5,2.4356908275451952e-5,3.88391085186421e-5
par/210000,1.1138634026391472e-2,1.1108693669189562e-2,1.1165890964597237e-2,1.1493704201140672e-4,1.0194789308844588e-4,1.2322817796614225e-4
par/410000,2.0430183792714617e-2,2.0383260046322182e-2,2.0461186011519878e-2,1.3071073436556917e-4,9.485184748859604e-5,1.6073499713971856e-4
par/610000,3.054456134769871e-2,3.0419896622772474e-2,3.0629283266580164e-2,3.544674150040859e-4,1.0117568548717929e-4,4.364381304050849e-4
par/810000,3.923142682534877e-2,3.9072710304476246e-2,3.9362640371802954e-2,7.391081318205321e-4,6.519316579968226e-4,9.008724656467136e-4
par/1010000,5.032687044680222e-2,5.002368784762497e-2,5.090030324962837e-2,7.573559799444731e-4,1.0881065052819586e-4,1.075342324297804e-3
