Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/1024,7.2375520200284055e-3,7.204743012586347e-3,7.301264379547699e-3,2.5178277163823896e-4,2.0757376593182405e-4,3.1321710753286235e-4
par/2048,7.133614559589694e-3,7.119711120122382e-3,7.175110851534095e-3,1.4144886822191848e-4,1.22531394817966e-4,1.5459719548872698e-4
par/4096,7.182382157185561e-3,7.122953561898189e-3,7.213839590826384e-3,2.602041169172024e-4,1.4280262239525567e-4,3.3877150133592647e-4
par/8192,7.012192753370453e-3,6.982587597522074e-3,7.052950915687653e-3,2.3568382100111137e-4,1.717640416356983e-4,2.867011463162384e-4
par/16384,7.4945478887841884e-3,7.469450094436065e-3,7.569420973916083e-3,2.89787286646149e-4,2.4441162562684616e-4,4.264701887112531e-4
par/32768,9.638817011569732e-3,9.590068111538902e-3,9.698749948540324e-3,1.9257897104734656e-4,1.6700324947341522e-4,2.3771522806712364e-4
par/65536,1.437192986045165e-2,1.4293606519314241e-2,1.4428033906050105e-2,2.811554913099065e-4,2.0519703108472595e-4,3.4925427986349367e-4
par/131072,2.3789687022737722e-2,2.373086816638805e-2,2.3865826594125512e-2,3.0821386372301634e-4,2.4958455111818973e-4,3.550911875752723e-4
par/262144,4.24128705674552e-2,4.2269216096615346e-2,4.253741878631692e-2,4.442550257627581e-4,2.807479014254958e-4,5.467231136994996e-4
par/524288,7.921621926103116e-2,7.908627476847603e-2,7.948421800303203e-2,5.858923914600874e-4,4.3173003295641783e-4,7.456598960556311e-4
par/1048576,0.15200973364075543,0.15146210209706001,0.15261612755750054,1.291282588577602e-3,2.46580152173875e-4,1.8864605497221705e-3
