Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,4.65694814914791e-4,4.6478292622155335e-4,4.6684559071241515e-4,3.900532515208123e-6,2.2484553546426864e-6,5.028621869979209e-6
par/110000,5.2130811116256025e-3,5.196478722125887e-3,5.221349248696041e-3,5.5261236968442236e-5,4.0624597662875715e-5,6.815982158875972e-5
par/210000,9.521683564084038e-3,9.513062170552268e-3,9.535312628786622e-3,6.60374488229539e-5,5.83623101353267e-5,7.998936262013778e-5
par/410000,1.8746193819401163e-2,1.8669473872513147e-2,1.880931407003354e-2,1.928536265693058e-4,1.5960620125074585e-4,2.278432769696247e-4
par/610000,2.860736356422259e-2,2.8549050939578054e-2,2.870169288284114e-2,2.8958765563243593e-4,2.5970567185408235e-4,3.0980743582586693e-4
par/810000,3.7085889006351784e-2,3.6922291948098276e-2,3.7272773034619316e-2,4.326739361283323e-4,3.502570724503706e-4,4.6016723810500185e-4
par/1010000,4.807819559910704e-2,4.7973162227201036e-2,4.823709716648414e-2,4.643131599780883e-4,4.453288881044097e-4,5.172052018070803e-4
