Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
par/10000,4.522114639684397e-3,4.383846138522158e-3,4.650280252658148e-3,6.585999934648117e-4,6.182071820681134e-4,7.928126184715483e-4
par/20000,1.3503583470803828e-2,1.330345498309348e-2,1.3711462002657595e-2,1.051032418303587e-3,1.0056617314492362e-3,1.1316946681447931e-3
par/40000,3.421302305034965e-2,3.297516555086566e-2,3.531092135703044e-2,4.464450301976326e-3,1.9297177402670925e-3,5.851583515047372e-3
par/80000,8.030642681228485e-2,7.976078085850791e-2,8.27563056343102e-2,7.0932747486747525e-3,4.335851250463471e-3,8.490563805680359e-3
par/160000,0.20523767654602934,0.20389530431582695,0.20909752304174212,3.6090505184391297e-3,1.8828104229152676e-3,5.529571190670041e-3
par/320000,0.5086824267345946,0.5076709783170372,0.5089919551683124,3.071731455924471e-3,7.14825298115231e-4,3.362811795757742e-3
par/640000,1.1543775927372433,1.133171787019819,1.1647593597881496,5.0504873812362946e-2,1.7372854849478814e-2,5.915995199832079e-2
