Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
seq/10000,8.294409169474815e-3,8.095301062971717e-3,8.485458198123467e-3,8.618327552431578e-4,7.667992629411916e-4,1.0275203412602367e-3
seq/20000,2.1367257375685855e-2,2.1056323581051153e-2,2.1925331294815876e-2,1.676218910394125e-3,1.345248122335988e-3,1.838059607735242e-3
seq/40000,5.1092316441460554e-2,5.029999151686242e-2,5.155055394059513e-2,2.181503861449382e-3,1.3787740664688783e-3,3.035524195047774e-3
seq/80000,0.12731555993121305,0.12553571246292752,0.12897153526850855,5.923073839612522e-3,3.931511369837748e-3,7.238898563694893e-3
seq/160000,0.29749307788287604,0.29734438001488644,0.2994817447538177,6.933608331076853e-3,4.674577726995472e-3,8.460631736438256e-3
seq/320000,0.7547657057390703,0.7394911126757506,0.7658847608254291,2.0843886836801738e-2,1.9409052232125135e-2,2.0843886836801738e-2
seq/640000,1.8276620938268024,1.8172562714898959,1.8338851139124017,2.0077846044611884e-2,1.962184416542461e-2,2.0077846044611884e-2
