Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
hs/2048,1.725902646631876e-4,1.7179418677531967e-4,1.7351009263538795e-4,2.2670865341763416e-6,1.0613092575827446e-6,4.105182605495835e-6
hs/4096,3.9426184373084823e-4,3.8928161953361836e-4,3.9949766374466835e-4,1.4124884203296703e-5,1.220513052672354e-5,1.6191248943981062e-5
hs/8192,2.1611442244030255e-3,1.4316900149335416e-3,3.5861524473166425e-3,2.1852354986593063e-3,1.0023970613438384e-3,3.7344174227038943e-3
hs/16384,4.972445411234347e-3,3.4301445852628894e-3,7.5857814836898674e-3,4.178524873300949e-3,2.4635261346481908e-3,6.305139811006008e-3
hs/32768,1.0063406810264469e-2,6.920339663971273e-3,1.425873078945512e-2,6.5715949353874065e-3,4.253286308455733e-3,9.55469041030167e-3
hs/65536,2.0534002647330886e-2,1.5692241528799503e-2,2.71611270347442e-2,1.0279909436878967e-2,7.41856524327668e-3,1.4262990681158567e-2
hs/131072,4.344958031651576e-2,3.2421266853742574e-2,5.5982642326007165e-2,1.5941866036203685e-2,1.015718364513584e-2,2.2460184931198734e-2
hs/262144,8.125670371231594e-2,6.00648696689556e-2,9.732474820119225e-2,2.41551469078837e-2,1.0783606365615928e-2,3.35160585311562e-2
hs/524288,0.16058537956203658,0.11182511815402126,0.17979889127036214,3.525906113926166e-2,8.925626938503975e-3,5.353262832795403e-2
hs/1048576,0.3133609400053198,0.2596798495389521,0.3799642670433968,6.057233241615584e-2,3.770901373468643e-2,7.282744663753728e-2
hs/2097152,0.5668491237447597,0.4592118803411722,0.708845014218241,0.1144401379120097,1.5752765932120383e-2,0.14412575704257555
