Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
seq/2048,5.061142133225624e-4,5.054324041288742e-4,5.07826150006521e-4,2.639842180349457e-6,1.3098374288150496e-6,4.738241602745596e-6
seq/4096,1.158456053958949e-3,1.1163805332396726e-3,1.2685133166750156e-3,1.7166559266080706e-4,5.2028543086367704e-5,3.240944417579901e-4
seq/8192,2.5417426143288196e-3,2.41623467015202e-3,2.8316242437724662e-3,4.930882858048204e-4,2.1725771080128296e-4,8.274307468249091e-4
seq/16384,5.2523558753785095e-3,4.985344175763961e-3,5.860771871201201e-3,9.5117927014203e-4,3.8537608710567336e-4,1.7082382796909726e-3
seq/32768,1.0889104618685296e-2,1.0221770216933306e-2,1.1899777842833222e-2,1.6828874398242286e-3,1.0458763339280218e-3,2.4675687690887804e-3
seq/65536,2.1789835205791048e-2,2.0659067716146323e-2,2.4318198883094458e-2,2.8282315437861433e-3,1.5652063691623777e-3,4.489581959906076e-3
seq/131072,4.442003200881982e-2,4.192868817534128e-2,4.8129273952222426e-2,4.356188240768631e-3,2.946971918252972e-3,6.283405419132594e-3
seq/262144,8.923972018766899e-2,8.393293306682377e-2,9.491891943093231e-2,7.461944000299228e-3,5.203292443222913e-3,9.189533916086859e-3
seq/524288,0.18217147188390503,0.16994910058565438,0.19253884023702186,1.3177109703871205e-2,4.005020687408236e-3,1.6732784036233975e-2
seq/1048576,0.36492817643253755,0.3336948687210679,0.37883309387446695,2.1431816445682674e-2,1.4204107768212848e-3,2.6880640987414474e-2
seq/2097152,0.7377215457090642,0.7362502217874862,0.7400856003223453,2.317151011667664e-3,4.720344441011548e-5,2.934307158502072e-3
