Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
hs/2048,1.4817631989176344e-4,1.4808190750345188e-4,1.483199271644537e-4,3.1381175814512697e-7,2.3044729581663009e-7,4.173220780234298e-7
hs/4096,3.247732365738919e-4,3.232799250156833e-4,3.288361964942407e-4,6.7423967511894616e-6,2.4804833404538347e-6,1.3712413275908482e-5
hs/8192,9.356280448763047e-4,8.605286510970209e-4,1.1182917913626451e-3,2.9102635071786545e-4,1.1538370925942925e-4,5.586882149370924e-4
hs/16384,2.208895046294781e-3,2.038204050973153e-3,2.6277737320550827e-3,6.484025522789138e-4,3.3920170510904534e-4,1.168690612082119e-3
hs/32768,4.65495033519441e-3,4.293798834587411e-3,5.274322381085531e-3,1.1193084227562973e-3,6.392047138603601e-4,1.7281308880390375e-3
hs/65536,9.358267258680043e-3,8.748263819595333e-3,1.0528557835321199e-2,1.7070310822148806e-3,1.0508117759908924e-3,2.768013440819194e-3
hs/131072,1.93269208857104e-2,1.7991836348382962e-2,2.0973550277950302e-2,2.8893728042582553e-3,2.0852281426512313e-3,3.940222505128129e-3
hs/262144,3.856001092179525e-2,3.629862028955753e-2,4.1557044173966454e-2,4.372324490473461e-3,3.2782898347569808e-3,5.93093681644975e-3
hs/524288,7.725599204147575e-2,7.185494260832904e-2,8.296417294613397e-2,7.284117354680752e-3,4.306120900235709e-3,1.0240792832078946e-2
hs/1048576,0.15401042344501611,0.14490179469631542,0.16160993552275738,9.494245561524286e-3,4.287040137634612e-3,1.491926668636379e-2
hs/2097152,0.3284725148013482,0.31784900899045165,0.36244938615709543,1.929563708410273e-2,1.5760273827216814e-3,2.5530268679752166e-2
