Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
hs/2048,1.6373964479994097e-4,1.6198583222161347e-4,1.6489867732007589e-4,3.9635511864259265e-6,2.2652662266818804e-6,5.305074823841652e-6
hs/4096,3.6222252989070444e-4,3.611483558652292e-4,3.632773083977253e-4,2.809767517240214e-6,2.118033027352065e-6,3.6943001926976394e-6
hs/8192,1.948874490195363e-3,1.366405518324501e-3,3.552338004985488e-3,1.997726807797804e-3,1.029446826197944e-3,3.3547069651864107e-3
hs/16384,4.842086871102242e-3,3.5123875348920448e-3,7.1569900010106085e-3,3.930653926811368e-3,2.37334088168111e-3,5.8890823068199994e-3
hs/32768,9.79018883171944e-3,7.294493401270577e-3,1.3669402468127227e-2,6.245924416924717e-3,4.358385210980547e-3,8.50733643220371e-3
hs/65536,1.854501869941208e-2,1.4068323195076483e-2,2.4683789085065713e-2,8.944017288833508e-3,5.901796491133066e-3,1.3023597276923836e-2
hs/131072,4.09885566081929e-2,3.186019267308871e-2,5.15023412310197e-2,1.4840586041675312e-2,9.194940470101243e-3,2.23152402937632e-2
hs/262144,7.534513799724953e-2,5.5533644228449294e-2,8.87960776528861e-2,2.2558357107109777e-2,1.3574019219901874e-2,2.9877489558530458e-2
hs/524288,0.14659649339523548,0.1006714353404407,0.16716944433615674,3.134711726376978e-2,1.0619875468301683e-2,4.6139664812077624e-2
hs/1048576,0.25230881335369004,0.17582611547783017,0.3363379254626731,7.855735452381211e-2,3.4599679579604976e-2,0.11037082749081921
hs/2097152,0.5465694023490263,0.45894650008995086,0.6598355002352037,0.1085412402940381,5.2804561176647835e-3,0.1338370969702638
