Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
hs/2048,1.9132944492848862e-4,1.9023759162885547e-4,1.9274791830704654e-4,3.1274113522992165e-6,1.5691138025398683e-6,4.596873574129518e-6
hs/4096,4.2739218984931776e-4,4.2448583456361353e-4,4.317606670991183e-4,8.216209739402614e-6,5.360243394489078e-6,1.171316275925114e-5
hs/8192,2.055185133952274e-3,1.5047606164922986e-3,2.952420817343681e-3,1.9068013621049984e-3,1.169538207168966e-3,2.8065938375835013e-3
hs/16384,5.521144192104928e-3,3.7749881598638903e-3,8.25257023378254e-3,5.107191449407376e-3,3.1919758090952224e-3,7.418971959528086e-3
hs/32768,1.1600454499389276e-2,8.382395405475e-3,1.8178896767359183e-2,8.213794078901536e-3,5.616321236808059e-3,1.1903279911069466e-2
hs/65536,2.3032482232494312e-2,1.7738705969871815e-2,3.304533112531467e-2,1.1805456264645483e-2,8.253732865896396e-3,1.653586017710818e-2
hs/131072,4.7628732764687785e-2,3.631865597018585e-2,5.94836742878404e-2,1.8187452202015137e-2,1.0918661568307172e-2,2.7863151249898056e-2
hs/262144,9.261109786520004e-2,6.59575460376415e-2,0.11063606186356803,2.8647604829781948e-2,1.0130959491228605e-2,3.81944682424804e-2
hs/524288,0.17645536907560502,0.10937121883034706,0.20474761381046847,4.5948011658487616e-2,1.1271802061690026e-2,6.771706051281934e-2
hs/1048576,0.3546014699774484,0.30100970005150884,0.3851325712942829,5.248755287452033e-2,1.771898197167908e-3,6.873666005855263e-2
hs/2097152,0.7068640841074133,0.6744393049060212,0.7893414897844195,5.524363714165327e-2,3.091085546960415e-3,6.733355426723556e-2
